commentary,Player,Team
"Substitution, Manchester City. Raheem Sterling replaces Gabriel Jesus.",,
"Offside, Brighton and Hove Albion. Bruno tries a through ball, but Pascal Groß is caught offside.",,
"Substitution, Brighton and Hove Albion. Anthony Knockaert replaces Solly March.",,
"Own Goal by Lewis Dunk, Brighton and Hove Albion.  Brighton and Hove Albion 0, Manchester City 2.",,
"Corner,  Manchester City. Conceded by Solly March.",,
Kyle Walker (Manchester City) wins a free kick on the right wing.,,
Foul by Jamie Murphy (Brighton and Hove Albion).,,
"Goal!  Brighton and Hove Albion 0, Manchester City 1. Sergio Agüero (Manchester City) right footed shot from the right side of the box to the bottom left corner. Assisted by David Silva.",,
"Substitution, Manchester City. Leroy Sané replaces Danilo.",,
"Corner,  Manchester City. Conceded by Lewis Dunk.",,
Attempt blocked. Kevin De Bruyne (Manchester City) left footed shot from outside the box is blocked. Assisted by Kyle Walker.,,
"Corner,  Manchester City. Conceded by Davy Pröpper.",,
"Corner,  Manchester City. Conceded by Lewis Dunk.",,
Foul by Glenn Murray (Brighton and Hove Albion).,,
Fernandinho (Manchester City) wins a free kick in the defensive half.,,
"Substitution, Brighton and Hove Albion. Glenn Murray replaces Tomer Hemed.",,
Attempt blocked. Kevin De Bruyne (Manchester City) right footed shot from outside the box is blocked. Assisted by David Silva.,,
"Attempt missed. Davy Pröpper (Brighton and Hove Albion) right footed shot from outside the box is close, but misses to the left following a corner.",,
Attempt blocked. Lewis Dunk (Brighton and Hove Albion) left footed shot from the centre of the box is blocked.,,
Attempt saved. Lewis Dunk (Brighton and Hove Albion) right footed shot from the centre of the box is saved in the centre of the goal.,,
"Corner,  Brighton and Hove Albion. Conceded by Vincent Kompany.",,
Attempt blocked. Shane Duffy (Brighton and Hove Albion) right footed shot from the centre of the box is blocked. Assisted by Lewis Dunk with a headed pass.,,
Attempt missed. Davy Pröpper (Brighton and Hove Albion) right footed shot from outside the box misses to the right following a corner.,,
"Corner,  Brighton and Hove Albion. Conceded by Danilo.",,
Attempt missed. Sergio Agüero (Manchester City) right footed shot from the centre of the box misses to the right.,,
"Offside, Manchester City. Fernandinho tries a through ball, but David Silva is caught offside.",,
Attempt saved. Fernandinho (Manchester City) right footed shot from outside the box is saved in the bottom right corner.,,
"Second Half begins Brighton and Hove Albion 0, Manchester City 0.",,
"First Half ends, Brighton and Hove Albion 0, Manchester City 0.",,
"Offside, Brighton and Hove Albion. Pascal Groß tries a through ball, but Solly March is caught offside.",,
Attempt blocked. Nicolás Otamendi (Manchester City) right footed shot from outside the box is blocked. Assisted by Sergio Agüero.,,
Attempt missed. Gabriel Jesus (Manchester City) right footed shot from outside the box is high and wide to the right. Assisted by David Silva with a headed pass.,,
Attempt saved. Lewis Dunk (Brighton and Hove Albion) header from the centre of the box is saved in the top centre of the goal. Assisted by Pascal Groß with a cross.,,
Solly March (Brighton and Hove Albion) wins a free kick on the right wing.,,
Foul by David Silva (Manchester City).,,
Solly March (Brighton and Hove Albion) wins a free kick in the defensive half.,,
Foul by Nicolás Otamendi (Manchester City).,,
Lewis Dunk (Brighton and Hove Albion) wins a free kick in the defensive half.,,
Foul by Gabriel Jesus (Manchester City).,,
Foul by Solly March (Brighton and Hove Albion).,,
Danilo (Manchester City) wins a free kick on the left wing.,,
"Offside, Brighton and Hove Albion. Mat Ryan tries a through ball, but Jamie Murphy is caught offside.",,
Gabriel Jesus (Manchester City) hits the left post with a left footed shot from the left side of the six yard box.,,
Attempt saved. Gabriel Jesus (Manchester City) header from very close range is saved in the centre of the goal. Assisted by Sergio Agüero with a cross.,,
Attempt blocked. Kevin De Bruyne (Manchester City) right footed shot from outside the box is blocked.,,
Foul by Dale Stephens (Brighton and Hove Albion).,,
David Silva (Manchester City) wins a free kick in the attacking half.,,
Gabriel Jesus (Manchester City) is shown the yellow card for hand ball.,,
Delay over. They are ready to continue.,,
Delay in match Gabriel Jesus (Manchester City) because of an injury.,,
Hand ball by Gabriel Jesus (Manchester City).,,
"Offside, Brighton and Hove Albion. Lewis Dunk tries a through ball, but Pascal Groß is caught offside.",,
"Corner,  Manchester City. Conceded by Dale Stephens.",,
"Substitution, Brighton and Hove Albion. Jamie Murphy replaces Isaiah Brown because of an injury.",,
Delay over. They are ready to continue.,,
Delay in match Isaiah Brown (Brighton and Hove Albion) because of an injury.,,
"Corner,  Manchester City. Conceded by Lewis Dunk.",,
Tomer Hemed (Brighton and Hove Albion) wins a free kick in the defensive half.,,
Foul by John Stones (Manchester City).,,
Attempt saved. Kevin De Bruyne (Manchester City) right footed shot from outside the box is saved in the centre of the goal.,,
Foul by Dale Stephens (Brighton and Hove Albion).,,
David Silva (Manchester City) wins a free kick in the attacking half.,,
"Offside, Brighton and Hove Albion. Bruno tries a through ball, but Pascal Groß is caught offside.",,
Attempt missed. Fernandinho (Manchester City) header from the centre of the box misses to the right. Assisted by David Silva with a cross following a corner.,,
"Corner,  Manchester City. Conceded by Shane Duffy.",,
Attempt missed. Danilo (Manchester City) right footed shot from outside the box is high and wide to the right. Assisted by David Silva.,,
"Corner,  Manchester City. Conceded by Shane Duffy.",,
"Corner,  Manchester City. Conceded by Shane Duffy.",,
Attempt blocked. Gabriel Jesus (Manchester City) right footed shot from the left side of the box is blocked. Assisted by Fernandinho.,,
"Match ends, Chelsea 2, Burnley 3.",,
"Second Half ends, Chelsea 2, Burnley 3.",,
Attempt missed. Marcos Alonso (Chelsea) left footed shot from a difficult angle on the left misses to the right.,,
"Offside, Burnley. Tom Heaton tries a through ball, but Sam Vokes is caught offside.",,
Foul by Álvaro Morata (Chelsea).,,
Ben Mee (Burnley) wins a free kick in the defensive half.,,
"Substitution, Chelsea. Charly Musonda replaces Andreas Christensen.",,
Foul by Sam Vokes (Burnley).,,
David Luiz (Chelsea) wins a free kick in the attacking half.,,
Attempt blocked. Robbie Brady (Burnley) left footed shot from outside the box is blocked.,,
Robbie Brady (Burnley) hits the left post with a left footed shot from outside the box from a direct free kick.,,
Antonio Rüdiger (Chelsea) is shown the yellow card for a bad foul.,,
Sam Vokes (Burnley) wins a free kick in the attacking half.,,
Foul by Antonio Rüdiger (Chelsea).,,
"Goal!  Chelsea 2, Burnley 3. David Luiz (Chelsea) left footed shot from the centre of the box to the centre of the goal. Assisted by Álvaro Morata with a headed pass.",,
Attempt blocked. Willian (Chelsea) right footed shot from the right side of the box is blocked. Assisted by Marcos Alonso with a cross.,,
"Corner,  Chelsea. Conceded by Matthew Lowton.",,
"Corner,  Chelsea. Conceded by James Tarkowski.",,
Attempt saved. Álvaro Morata (Chelsea) left footed shot from outside the box is saved in the centre of the goal. Assisted by César Azpilicueta.,,
Second yellow card to Cesc Fàbregas (Chelsea) for a bad foul.,,
Jack Cork (Burnley) wins a free kick on the right wing.,,
Foul by Cesc Fàbregas (Chelsea).,,
Attempt missed. N'Golo Kanté (Chelsea) right footed shot from outside the box misses to the left. Assisted by Andreas Christensen following a corner.,,
"Corner,  Chelsea. Conceded by Stephen Ward.",,
David Luiz (Chelsea) is shown the yellow card.,,
"Offside, Chelsea. Antonio Rüdiger tries a through ball, but Álvaro Morata is caught offside.",,
Scott Arfield (Burnley) is shown the yellow card for a bad foul.,,
Marcos Alonso (Chelsea) wins a free kick on the left wing.,,
Foul by Scott Arfield (Burnley).,,
Attempt saved. Ben Mee (Burnley) header from the centre of the box is saved in the top centre of the goal. Assisted by Robbie Brady with a cross.,,
"Corner,  Burnley. Conceded by Antonio Rüdiger.",,
"Substitution, Burnley. Scott Arfield replaces Johann Berg Gudmundsson.",,
"Substitution, Burnley. Jonathan Walters replaces Steven Defour.",,
Stephen Ward (Burnley) wins a free kick in the defensive half.,,
Foul by César Azpilicueta (Chelsea).,,
"Offside, Chelsea. Andreas Christensen tries a through ball, but Álvaro Morata is caught offside.",,
Foul by Sam Vokes (Burnley).,,
Antonio Rüdiger (Chelsea) wins a free kick in the defensive half.,,
Johann Berg Gudmundsson (Burnley) wins a free kick in the defensive half.,,
Foul by Marcos Alonso (Chelsea).,,
Hand ball by Willian (Chelsea).,,
"Goal!  Chelsea 1, Burnley 3. Álvaro Morata (Chelsea) header from very close range to the bottom left corner. Assisted by Willian with a cross.",,
Attempt blocked. N'Golo Kanté (Chelsea) right footed shot from the right side of the box is blocked. Assisted by Cesc Fàbregas.,,
"Corner,  Chelsea. Conceded by Steven Defour.",,
Foul by Jack Cork (Burnley).,,
Cesc Fàbregas (Chelsea) wins a free kick on the right wing.,,
"Attempt missed. Robbie Brady (Burnley) header from a difficult angle on the left is close, but misses to the left. Assisted by Johann Berg Gudmundsson with a cross.",,
"Corner,  Burnley. Conceded by Andreas Christensen.",,
Sam Vokes (Burnley) wins a free kick in the attacking half.,,
Foul by David Luiz (Chelsea).,,
Attempt missed. David Luiz (Chelsea) right footed shot from the centre of the box is high and wide to the right. Assisted by Cesc Fàbregas with a cross following a set piece situation.,,
Ben Mee (Burnley) is shown the yellow card for a bad foul.,,
Álvaro Morata (Chelsea) wins a free kick on the right wing.,,
Foul by Ben Mee (Burnley).,,
Attempt blocked. Marcos Alonso (Chelsea) left footed shot from the centre of the box is blocked.,,
"Corner,  Chelsea. Conceded by Tom Heaton.",,
Attempt saved. Marcos Alonso (Chelsea) left footed shot from outside the box is saved in the top right corner.,,
Robbie Brady (Burnley) is shown the yellow card for a bad foul.,,
Willian (Chelsea) wins a free kick in the attacking half.,,
Foul by Robbie Brady (Burnley).,,
Attempt missed. Álvaro Morata (Chelsea) right footed shot from outside the box is high and wide to the right. Assisted by Marcos Alonso.,,
"Substitution, Chelsea. Álvaro Morata replaces Michy Batshuayi.",,
Attempt missed. Sam Vokes (Burnley) header from the centre of the box misses to the left. Assisted by Robbie Brady with a cross following a corner.,,
"Corner,  Burnley. Conceded by Marcos Alonso.",,
Jeff Hendrick (Burnley) wins a free kick in the attacking half.,,
Foul by Cesc Fàbregas (Chelsea).,,
Foul by Sam Vokes (Burnley).,,
Andreas Christensen (Chelsea) wins a free kick in the defensive half.,,
Attempt saved. Michy Batshuayi (Chelsea) right footed shot from outside the box is saved in the centre of the goal. Assisted by N'Golo Kanté.,,
"Corner,  Chelsea. Conceded by Tom Heaton.",,
"Corner,  Chelsea. Conceded by James Tarkowski.",,
Attempt saved. Marcos Alonso (Chelsea) left footed shot from outside the box is saved in the top left corner. Assisted by Cesc Fàbregas.,,
Attempt missed. Antonio Rüdiger (Chelsea) right footed shot from outside the box misses to the left. Assisted by Cesc Fàbregas.,,
N'Golo Kanté (Chelsea) wins a free kick in the defensive half.,,
Foul by Steven Defour (Burnley).,,
"Second Half begins Chelsea 0, Burnley 3.",,
"First Half ends, Chelsea 0, Burnley 3.",,
Attempt missed. Robbie Brady (Burnley) left footed shot from the left side of the box misses to the right. Assisted by Jeff Hendrick.,,
Sam Vokes (Burnley) wins a free kick in the attacking half.,,
Foul by David Luiz (Chelsea).,,
Jack Cork (Burnley) wins a free kick in the defensive half.,,
Foul by Antonio Rüdiger (Chelsea).,,
Attempt blocked. N'Golo Kanté (Chelsea) right footed shot from outside the box is blocked.,,
"Corner,  Chelsea. Conceded by Steven Defour.",,
Attempt blocked. N'Golo Kanté (Chelsea) right footed shot from outside the box is blocked. Assisted by Marcos Alonso.,,
"Goal!  Chelsea 0, Burnley 3. Sam Vokes (Burnley) header from the centre of the box to the top left corner. Assisted by Steven Defour with a cross following a set piece situation.",,
Jeff Hendrick (Burnley) wins a free kick on the right wing.,,
Foul by Antonio Rüdiger (Chelsea).,,
Attempt missed. David Luiz (Chelsea) left footed shot from outside the box is high and wide to the left.,,
"Goal!  Chelsea 0, Burnley 2. Stephen Ward (Burnley) left footed shot from the left side of the box to the top right corner. Assisted by Jack Cork.",,
Stephen Ward (Burnley) wins a free kick on the left wing.,,
Foul by César Azpilicueta (Chelsea).,,
Attempt blocked. Marcos Alonso (Chelsea) right footed shot from outside the box is blocked. Assisted by Willian.,,
Foul by Sam Vokes (Burnley).,,
Cesc Fàbregas (Chelsea) wins a free kick in the defensive half.,,
"Corner,  Burnley. Conceded by Marcos Alonso.",,
"Goal!  Chelsea 0, Burnley 1. Sam Vokes (Burnley) right footed shot from the centre of the box to the bottom left corner. Assisted by Matthew Lowton with a cross.",,
Foul by James Tarkowski (Burnley).,,
Andreas Christensen (Chelsea) wins a free kick in the defensive half.,,
"Corner,  Burnley. Conceded by Marcos Alonso.",,
"Substitution, Chelsea. Andreas Christensen replaces Jeremie Boga.",,
Cesc Fàbregas (Chelsea) is shown the yellow card.,,
Jeff Hendrick (Burnley) wins a free kick in the defensive half.,,
Foul by Cesc Fàbregas (Chelsea).,,
Willian (Chelsea) wins a free kick in the defensive half.,,
Foul by Jeff Hendrick (Burnley).,,
Delay over. They are ready to continue.,,
Delay in match  (Burnley).,,
Gary Cahill (Chelsea) is shown the red card.,,
Steven Defour (Burnley) wins a free kick in the defensive half.,,
Foul by Gary Cahill (Chelsea).,,
Attempt blocked. Antonio Rüdiger (Chelsea) right footed shot from outside the box is blocked. Assisted by Cesc Fàbregas.,,
James Tarkowski (Burnley) wins a free kick in the defensive half.,,
Foul by Jeremie Boga (Chelsea).,,
Attempt saved. Ben Mee (Burnley) header from the left side of the box is saved in the centre of the goal. Assisted by Robbie Brady with a cross.,,
Marcos Alonso (Chelsea) is shown the yellow card for a bad foul.,,
Matthew Lowton (Burnley) wins a free kick on the right wing.,,
Foul by Marcos Alonso (Chelsea).,,
"Match ends, Crystal Palace 0, Huddersfield Town 3.",,
"Second Half ends, Crystal Palace 0, Huddersfield Town 3.",,
Joel Ward (Crystal Palace) wins a free kick in the defensive half.,,
Foul by Rajiv van La Parra (Huddersfield Town).,,
"Corner,  Huddersfield Town. Conceded by Joel Ward.",,
Attempt saved. Patrick van Aanholt (Crystal Palace) left footed shot from outside the box is saved in the centre of the goal.,,
Ruben Loftus-Cheek (Crystal Palace) wins a free kick in the attacking half.,,
Foul by Danny Williams (Huddersfield Town).,,
Jason Puncheon (Crystal Palace) is shown the yellow card for a bad foul.,,
Foul by Jason Puncheon (Crystal Palace).,,
Elias Kachunga (Huddersfield Town) wins a free kick in the defensive half.,,
Attempt blocked. Jason Puncheon (Crystal Palace) left footed shot from outside the box is blocked.,,
Ruben Loftus-Cheek (Crystal Palace) wins a free kick in the attacking half.,,
Foul by Chris Löwe (Huddersfield Town).,,
"Substitution, Huddersfield Town. Rajiv van La Parra replaces Steve Mounie.",,
Attempt missed. Christian Benteke (Crystal Palace) header from the centre of the box is too high. Assisted by Andros Townsend with a cross following a corner.,,
"Corner,  Crystal Palace. Conceded by Christopher Schindler.",,
Attempt missed. James Tomkins (Crystal Palace) left footed shot from the centre of the box is too high. Assisted by Patrick van Aanholt with a cross following a corner.,,
"Corner,  Crystal Palace. Conceded by Collin Quaner.",,
Foul by Elias Kachunga (Huddersfield Town).,,
Andros Townsend (Crystal Palace) wins a free kick on the right wing.,,
"Goal!  Crystal Palace 0, Huddersfield Town 3. Steve Mounie (Huddersfield Town) right footed shot from the centre of the box to the top right corner. Assisted by Collin Quaner.",,
"Substitution, Crystal Palace. James Tomkins replaces Timothy Fosu-Mensah.",,
Attempt missed. Scott Dann (Crystal Palace) right footed shot from the centre of the box is too high. Assisted by Patrick van Aanholt with a cross following a corner.,,
"Corner,  Crystal Palace. Conceded by Aaron Mooy.",,
"Corner,  Crystal Palace. Conceded by Zanka.",,
"Attempt missed. Patrick van Aanholt (Crystal Palace) left footed shot from outside the box is close, but misses to the right from a direct free kick.",,
Steve Mounie (Huddersfield Town) is shown the yellow card for a bad foul.,,
Ruben Loftus-Cheek (Crystal Palace) wins a free kick in the attacking half.,,
Foul by Steve Mounie (Huddersfield Town).,,
"Substitution, Huddersfield Town. Collin Quaner replaces Kasey Palmer.",,
Tom Ince (Huddersfield Town) wins a free kick on the right wing.,,
Foul by Patrick van Aanholt (Crystal Palace).,,
Attempt blocked. Patrick van Aanholt (Crystal Palace) right footed shot from the left side of the box is blocked. Assisted by Wilfried Zaha.,,
Jason Puncheon (Crystal Palace) wins a free kick on the left wing.,,
Foul by Tom Ince (Huddersfield Town).,,
Joel Ward (Crystal Palace) wins a free kick in the defensive half.,,
Foul by Elias Kachunga (Huddersfield Town).,,
"Corner,  Huddersfield Town. Conceded by Joel Ward.",,
"Corner,  Crystal Palace. Conceded by Philip Billing.",,
Kasey Palmer (Huddersfield Town) is shown the yellow card for a bad foul.,,
Ruben Loftus-Cheek (Crystal Palace) wins a free kick in the attacking half.,,
Foul by Kasey Palmer (Huddersfield Town).,,
Foul by Patrick van Aanholt (Crystal Palace).,,
Danny Williams (Huddersfield Town) wins a free kick in the defensive half.,,
Attempt saved. Wilfried Zaha (Crystal Palace) left footed shot from the left side of the box is saved in the bottom left corner. Assisted by Ruben Loftus-Cheek.,,
"Substitution, Huddersfield Town. Danny Williams replaces Tommy Smith.",,
Ruben Loftus-Cheek (Crystal Palace) wins a free kick in the attacking half.,,
Foul by Kasey Palmer (Huddersfield Town).,,
"Corner,  Crystal Palace. Conceded by Jonas Lössl.",,
Attempt saved. Christian Benteke (Crystal Palace) header from the centre of the box is saved in the bottom left corner. Assisted by Patrick van Aanholt with a cross.,,
"Corner,  Crystal Palace. Conceded by Chris Löwe.",,
"Corner,  Huddersfield Town. Conceded by Scott Dann.",,
"Offside, Huddersfield Town. Chris Löwe tries a through ball, but Steve Mounie is caught offside.",,
Attempt missed. Steve Mounie (Huddersfield Town) right footed shot from a difficult angle on the right is too high.,,
Attempt saved. Chris Löwe (Huddersfield Town) left footed shot from outside the box is saved in the bottom right corner. Assisted by Aaron Mooy.,,
"Corner,  Huddersfield Town. Conceded by Timothy Fosu-Mensah.",,
"Substitution, Crystal Palace. Andros Townsend replaces Luka Milivojevic because of an injury.",,
"Second Half begins Crystal Palace 0, Huddersfield Town 2.",,
"First Half ends, Crystal Palace 0, Huddersfield Town 2.",,
